zhshen,,,,,,,,,,,,,,,,,,,
,ÏµÊý¾ØÕó,,,,,,,,total,,½â,,,,,,,,
,36,12,36,72,36,72,1,,-195.7950512,,-0.01431369,-14.31369,-165.877775,-165.877775,,E1,-195.7950512,J1,-14.31369
,-4,12,-12,-8,4,-24,1,,-195.1687356,,-0.0059881,-5.9881,-69.39459388,-69.39459388,,E2,-195.1687356,J2,-5.9881
,4,4,-12,-8,4,-24,1,,-195.2353403,,-0.00444937,-4.44937,-51.56263659,-51.56263659,,E3,-195.2353403,J3,-4.44937
,-4,4,-12,8,4,-24,1,,-195.1448498,,-0.00150119,-1.50119,-17.39691561,-17.39691561,,E4,-195.1448498,J4,-1.50119
,0,4,-8,-8,12,-24,1,,-195.2045613,,-0.00108478,-1.08478,-12.57124423,-12.57124423,,E5,-195.2045613,J5,-1.08478
,-4,4,-12,0,4,-16,1,,-195.1066228,,0.00327719,3.27719,37.97853561,37.97853561,,E6,-195.1066228,J6,3.27719
,0,4,-4,-8,4,-24,1,,-195.2136805,,-195.1365435,-195136.5435,-2261388.618,-2261388.618,,E7,-195.2136805,J0,-195136.5435
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
yfxue,,,,,,,,,,,,,,,,,,,
,36,12,36,72,36,72,1,,-195.7950512,,-0.00206632,-2.06632,-23.9460659,-23.9460659,,E1,-195.7950512,J1,-2.06632
,-4,12,-12,-8,4,-24,1,,-195.1687328,,-0.00748897,-7.48897,-86.78780109,-86.78780109,,E2,-195.1687328,J2,-7.48897
,4,4,-12,-8,4,-24,1,,-195.1253516,,0.01069629,10.69629,123.9566307,123.9566307,,E3,-195.1253516,J3,10.69629
,-4,4,-12,8,4,-24,1,,-195.0052418,,0.0064737,6.4737,75.02209088,75.02209088,,E4,-195.0052418,J4,6.4737
,0,4,-8,-8,12,-24,1,,-195.1329345,,-0.00732917,-7.32917,-84.93591884,-84.93591884,,E5,-195.1329345,J5,-7.32917
,-4,4,-12,0,4,-16,1,,-195.1687356,,-0.01396302,-13.96302,-161.813948,-161.813948,,E6,-195.1687356,J6,-13.96302
,0,4,-4,-8,4,-24,1,,-195.031516,,-195.2127812,-195212.7812,-2262272.118,-2262272.118,,E7,-195.031516,J0,-195212.7812
