bi-layer,,,,,,,,,,,,,,,,,,,
zhshen,,,,,,,,,,,,,,,,,,,
,系数矩阵,,,,,,,,右向量,,解,,,,,,,,
,36,6,36,36,36,36,6,,-193.3079345,,-0.00443939,-4.43939,-51.44698086,-51.44698086,,E1,-193.3079345,J1,-4.43939
,36,-6,36,-36,36,-36,6,,-193.3690377,,-0.00060342,-0.60342,-6.992883525,-6.992883525,,E2,-193.3690377,J2,-0.60342
,12,-2,12,-16,20,-20,6,,-193.1890306,,-0.00576197,-5.76197,-66.77402984,-66.77402984,,E3,-193.1890306,J3,-5.76197
,12,-2,12,-16,20,-16,6,,-193.1794112,,-0.00145563,-1.45563,-16.86893216,-16.86893216,,E4,-193.1794112,J4,-1.45563
,12,-2,12,-20,20,-12,6,,-193.1639693,,0.00448605,4.48605,51.98771194,51.98771194,,E5,-193.1639693,J5,4.48605
,0,2,-8,-4,12,-12,6,,-193.0570494,,0.00240485,2.40485,27.86920544,27.86920544,,E6,-193.0570494,J6,2.40485
,4,2,-12,-4,4,-12,6,,-193.0876475,,-32.1887892,-32188.7892,-373027.8308,-373027.8308,,E7,-193.0876475,J0,-32188.7892
yfxue,,,,,,,,,,,,,,,,,,,
,72,12,72,72,72,72,1,,-185.6538522,,-0.00169286,-1.69286,-19.61813133,-19.61813133,,E1,-185.6538522,J1,-1.69286
,-8,12,-24,-8,8,-24,1,,-185.3924651,,0.00124741,1.24741,14.45592264,14.45592264,,E2,-185.3924651,J2,1.24741
,8,4,-24,-8,8,-24,1,,-185.4295302,,-0.00070392,-0.70392,-8.1575529,-8.1575529,,E3,-185.4295302,J3,-0.70392
,-8,4,-24,0,8,-16,1,,-185.3927132,,0.00077836,0.77836,9.02021945,9.02021945,,E4,-185.3927132,J4,0.77836
,-8,4,-24,8,8,-24,1,,-185.3899907,,-0.00254223,-2.54223,-29.46126791,-29.46126791,,E5,-185.3899907,J5,-2.54223
,0,8,-24,0,8,-24,1,,-185.4047708,,0.00043804,0.43804,5.07633605,5.07633605,,E6,-185.4047708,J6,0.43804
,0,4,-8,-8,8,-24,1,,-185.42725,,-185.4007933,-185400.7933,-2148563.443,-2148563.443,,E7,-185.42725,E0,-185400.7933
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tri-layer,,,,,,,,,,,,,,,,,,,
zhshen,,,,,,,,,,,,,,,,,,,
,系数矩阵,,,,,,,,total,,解,,,,,,,,
,54,12,54,72,54,72,1,,-291.7634531,,-0.00301672,-3.01672,-34.9600139,-34.9600139,,E1,-291.7634531,J1,-3.01672
,34,0,30,0,38,0,1,,-291.4512719,,-0.00970773,-9.70773,-112.500456,-112.500456,,E2,-291.4512719,J2,-9.70773
,26,2,18,-4,30,-12,1,,-291.4298246,,-0.0012168,-1.2168,-14.101191,-14.101191,,E3,-291.4298246,J3,-1.2168
,26,-2,18,-4,30,0,1,,-291.399739,,-0.00104554,-1.04554,-12.11650168,-12.11650168,,E4,-291.399739,J4,-1.04554
,30,0,30,0,54,0,1,,-291.4176049,,0.00135001,1.35001,15.64492839,15.64492839,,E5,-291.4176049,J5,1.35001
,30,0,38,0,38,0,1,,-291.4489394,,-0.00072878,-0.72878,-8.445649225,-8.445649225,,E6,-291.4489394,J6,-0.72878
,22,2,22,-8,38,-8,1,,-291.4105578,,-291.3634998,-291363.4998,-3376538.758,-3376538.758,,E7,-291.4105578,J0,-291363.4998
